#metadataBlock	name	dataverseAlias   displayName	frenchdisplayName														
	geospatial		Geospatial Metadata	Métadonnées géospatiales													
#datasetField	name	title	description	watermark	 fieldType	displayOrder	displayFormat	advancedSearchField	allowControlledVocabulary	allowmultiples	facetable	displayoncreate	required	parent	metadatablock_id	frenchtitle	frenchdescription
	country	Cocos (Keeling) Islands		46													Îles Cocos (Keeling)
	country	Colombia		47													Colombie
	country	Comoros		48													Comores
	country	Congo		49													Congo
	country	Congo, the Democratic Republic of the		50													Congo, République démocratique du 
	country	Cook Islands		51													Îles Cook
	country	Costa Rica		52													Costa Rica
	country	Croatia		53													Croatie
	country	Cuba		54													Cuba
	country	Curaçao		55													Curaçao
	country	Cyprus		56													Chypre
	country	Czech Republic		57													République tchèque 
	country	Côte d'Ivoire		58													Côte d'Ivoire
	country	Denmark		59													Danemark
	country	Djibouti		60													Djibouti
	country	Dominica		61													Dominique
	country	Dominican Republic		62													République dominicaine
	country	Ecuador		63													Équateur
	country	Egypt		64													Égypte
	country	El Salvador		65													El Salvador
	country	Equatorial Guinea		66													Guinée équatoriale
	country	Eritrea		67													Érythrée 
	country	Estonia		68													Estonie
	country	Ethiopia		69													Éthiopie
	country	Falkland Islands (Malvinas)		70													Îles Falkland (Malouines)
	country	Faroe Islands		71													Îles Féroé
	country	Fiji		72													Fidji
	country	Finland		73													Finlande
	country	France		74													France
	country	French Guiana		75													Guyane française
	country	French Polynesia		76													Polynésie française
	country	French Southern Territories		77													Terres australes françaises
	country	Gabon		78													Gabon
	country	Gambia		79	Gambia, The												Gambie
	country	Georgia		80													Géorgie
	country	Germany		81	Germany (Federal Republic of)												Allemagne
	country	Ghana		82	GHANA												Ghana
	country	Gibraltar		83													Gibraltar
	country	Greece		84													Grèce
	country	Greenland		85													Groenland
	country	Grenada		86													Grenade
	country	Guadeloupe		87													Guadeloupe
	country	Guam		88													Guam
	country	Guatemala		89													Guatemala
	country	Guernsey		90													Guernesey
	country	Guinea		91													Guinée
	country	Guinea-Bissau		92													Guinée-Bissau
	country	Guyana		93													Guyana
	country	Haiti		94													Haïti
	country	Heard Island and Mcdonald Islands		95													Îles Heard et McDonald
	country	Holy See (Vatican City State)		96													Saint-Siège (État de la Cité du Vatican)
	country	Honduras		97													Honduras
	country	Hong Kong		98													Hong Kong
	country	Hungary		99													Hongrie
	country	Iceland		100													Islande
	country	India		101	INDIA												Inde
	country	Indonesia		102	Sumatra												Indonésie
	country	Iran, Islamic Republic of		103	Iran	Iran (Islamic Republic of)											Iran
	country	Iraq		104	IRAQ												Iraq
	country	Ireland		105													Irlande
	country	Isle of Man		106													Île de Man
	country	Israel		107													Israël
	country	Italy		108													Italie
	country	Jamaica		109													Jamaïque
	country	Japan		110													Japon
	country	Jersey		111													Jersey
	country	Jordan		112													Jordanie
	country	Kazakhstan		113													Kazakhstan
	country	Kenya		114													Kenya
	country	Kiribati		115													Kiribati
	country	Korea, Democratic People's Republic of		116													Corée du Nord
	country	Korea, Republic of		117													Corée du Sud
	country	Kuwait		118													Koweït
	country	Kyrgyzstan		119													Kirghizistan
	country	Lao People's Democratic Republic		120	Laos												Laos
	country	Latvia		121													Lettonie
