Id	Part2b	Part2t	Part1	Scope	Language_Type	Ref_Name	Comment
lok				I	L	Loko	
lky				I	L	Lokoya	
lcd				I	L	Lola	
llq				I	L	Lolak	
llg				I	L	Lole	
llb				I	L	Lolo	
loa				I	L	Loloda	
ycl				I	L	Lolopo	
loi				I	L	Loma (Côte d'Ivoire)	
lom				I	L	Loma (Liberia)	
lmv				I	L	Lomaiviti	
rmi				I	L	Lomavren	
lmo				I	L	Lombard	
lmi				I	L	Lombi	
loo				I	L	Lombo	
ngl				I	L	Lomwe	
lce				I	L	Loncong	
lpn				I	L	Long Phuri Naga	
ttw				I	L	Long Wat	
lgu				I	L	Longgu	
wok				I	L	Longto	
lnu				I	L	Longuda	
los				I	L	Loniu	
crc				I	L	Lonwolwol	
lnz				I	L	Lonzo	
ldo				I	L	Loo	
lop				I	L	Lopa	
lov				I	L	Lopi	
lpx				I	L	Lopit	
lrn				I	L	Lorang	
lnn				I	L	Lorediakarkar	
spq				I	L	Loreto-Ucayali Spanish	
uvl				I	L	Lote	
njh				I	L	Lotha Naga	
dtr				I	L	Lotud	
loj				I	L	Lou	
lou				I	L	Louisiana Creole	
lox				I	L	Loun	
xlo				I	E	Loup A	
xlb				I	E	Loup B	
nds	nds	nds		I	L	Low German	
xbb				I	E	Lower Burdekin	
cea				I	E	Lower Chehalis	
dni				I	L	Lower Grand Valley Dani	
nsb				I	E	Lower Nossob	
sli				I	L	Lower Silesian	
dsb	dsb	dsb		I	L	Lower Sorbian	
axl				I	E	Lower Southern Aranda	
tto				I	L	Lower Ta'oih	
taa				I	L	Lower Tanana	
clo				I	L	Lowland Oaxaca Chontal	
tac				I	L	Lowland Tarahumara	
ztp				I	L	Loxicha Zapotec	
loz	loz	loz		I	L	Lozi	
lex				I	L	Luang	
lub	lub	lub	lu	I	L	Luba-Katanga	
lua	lua	lua		I	L	Luba-Lulua	
kcc				I	L	Lubila	
lcf				I	L	Lubu	
knb				I	L	Lubuagan Kalinga	
lch				I	L	Luchazi	
luq				I	L	Lucumi	
lud				I	L	Ludian	
ldq				I	L	Lufu	
lgg				I	L	Lugbara	
ruf				I	L	Luguru	
lcq				I	L	Luhu	
lum				I	L	Luimbi	
lui	lui	lui		I	E	Luiseno	
dop				I	L	Lukpa	
ule				I	E	Lule	
smj	smj	smj		I	L	Lule Sami	
luu				I	L	Lumba-Yakkha	
lup				I	L	Lumbu	
lmd				I	L	Lumun	
luj				I	L	Luna	
luk				I	L	Lunanakha	
lun	lun	lun		I	L	Lunda	
lnd				I	L	Lundayeh	
vmg				I	L	Lungalunga	
lga				I	L	Lungga	
luw				I	L	Luo (Cameroon)	
luo	luo	luo		I	L	Luo (Kenya and Tanzania)	
hml				I	L	Luopohe Hmong	
ldd				I	L	Luri	
lse				I	L	Lusengo	
lus	lus	lus		I	L	Lushai	
lut				I	L	Lushootseed	
khl				I	L	Lusi	
xls				I	H	Lusitanian	
ndy				I	L	Lutos	
lue				I	L	Luvale	
luv				I	L	Luwati	
lwo				I	L	Luwo	
ltz	ltz	ltz	lb	I	L	Luxembourgish	
lyn				I	L	Luyana	
luy				M	L	Luyia	
lwa				I	L	Lwalu	
lvl				I	L	Lwel	
lee				I	L	Lyélé	
xlc				I	H	Lycian	
xld				I	H	Lydian	
lyg				I	L	Lyngngam	
